OBJECTID,Name,addrln1,city,state,zip,address
108099868,American Jewish University,15600 Mulholland Dr,Los Angeles,CA,90077,"15600 Mulholland Dr , Los Angeles , CA 90077"
108099872,Los Angeles County College Of Nursing And Allied Health,1237 N. Mission Rd.,Los Angeles,CA,90033,"1237 N. Mission Rd. , Los Angeles , CA 90033"
108099873,Marinello School Of Beauty,1241 S. Soto Street,Los Angeles,CA,90023,"1241 S. Soto Street , Los Angeles , CA 90023"
108099876,Marinello School Of Beauty,2700 Colorado Blvd,Los Angeles,CA,90041,"2700 Colorado Blvd , Los Angeles , CA 90041"
108099881,Mount St Marys College,12001 Chalon Rd,Los Angeles,CA,90049,"12001 Chalon Rd , Los Angeles , CA 90049"
108099883,Everest College-La Wilshire,3460 Wilshire Blvd,Los Angeles,CA,90010,"3460 Wilshire Blvd , Los Angeles , CA 90010"
108099886,Marinello School Of Beauty,6111 Wilshire Boulevard,Los Angeles,CA,90048,"6111 Wilshire Boulevard , Los Angeles , CA 90048"
108099891,Otis College Of Art And Design,9045 Lincoln Blvd,Los Angeles,CA,90045,"9045 Lincoln Blvd , Los Angeles , CA 90045"
108099898,Westwood College-Los Angeles,3250 Wilshire Blvd,Los Angeles,CA,90010,"3250 Wilshire Blvd , Los Angeles , CA 90010"
108099899,University Of Southern California,University Park,Los Angeles,CA,90089,"University Park , Los Angeles , CA 90089"
108099904,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,7215 Waring Ave,Los Angeles,CA,90046,"7215 Waring Ave , Los Angeles , CA 90046"
108099909,American Intercontinental University,12655 West Jefferson Blvd,Los Angeles,CA,90066,"12655 West Jefferson Blvd , Los Angeles , CA 90066"
108099911,Samra University Of Oriental Medicine,1730 W. Olympic Boulevard,Los Angeles,CA,90015,"1730 W. Olympic Boulevard , Los Angeles , CA 90015"
108099915,Virginia Sewing Machines And School Center,1033 S Broadway St,Los Angeles,CA,90015,"1033 S Broadway St , Los Angeles , CA 90015"
108099916,Pacific States University,1516 S Western Ave,Los Angeles,CA,90006,"1516 S Western Ave , Los Angeles , CA 90006"
108099917,Associated Technical College,1670 Wilshire Blvd,Los Angeles,CA,90017,"1670 Wilshire Blvd , Los Angeles , CA 90017"
108099918,American Career College,4021 Rosewood Avenue,Los Angeles,CA,90004,"4021 Rosewood Avenue , Los Angeles , CA 90004"
108099919,World Mission University,500 Shatto Pl,Los Angeles,CA,90020,"500 Shatto Pl , Los Angeles , CA 90020"
108099928,American Academy Of Dramatic Arts-West,1336 N La Brea,Los Angeles,CA,90028,"1336 N La Brea , Los Angeles , CA 90028"
108099947,Loyola Marymount University,One Lmu Drive,Los Angeles,CA,90045,"One Lmu Drive , Los Angeles , CA 90045"
108099950,Cleveland Chiropractic College Of Los Angeles,590 N Vermont Ave,Los Angeles,CA,90004,"590 N Vermont Ave , Los Angeles , CA 90004"
108099962,Occidental College,1600 Campus Rd,Los Angeles,CA,90041,"1600 Campus Rd , Los Angeles , CA 90041"
108099964,Southern California Institute Of Architecture,960 E. 3Rd Street,Los Angeles,CA,90013,"960 E. 3Rd Street , Los Angeles , CA 90013"
108143665,Los Angeles City College,855 N. Vermont Ave.,Los Angeles,CA,90029,"855 N. Vermont Ave. , Los Angeles , CA 90029"
108146032,Los Angeles Southwest College,1600 W. Imperial Hwy.,Los Angeles,CA,90047,"1600 W. Imperial Hwy. , Los Angeles , CA 90047"
108146857,West Coast University,4021 Rosewood Ave,Los Angeles,CA,90004,"4021 Rosewood Ave , Los Angeles , CA 90004"
108147725,Maxine Waters Employment Preparation Center,10925 South  Central Ave,Los Angeles,CA,90059,"10925 South  Central Ave , Los Angeles , CA 90059"
108150988,Southwestern Law School,3050 Wilshire Boulevard,Los Angeles,CA,90010,"3050 Wilshire Boulevard , Los Angeles , CA 90010"
108099828,Ces College,3251 West 6Th Street,Los Angeles,CA,90020,"3251 West 6Th Street , Los Angeles , CA 90020"
108099829,Liberty Training Institute,2706 Wilshire Blvd,Los Angeles,CA,90057,"2706 Wilshire Blvd , Los Angeles , CA 90057"
108099832,Ladera Career Paths Training Centers,6820 La Tijera Blvd,Los Angeles,CA,90045,"6820 La Tijera Blvd , Los Angeles , CA 90045"
108099834,Walter Jay Md Institute An Educational Center,1930 Wilshire Blvd,Los Angeles,CA,90057,"1930 Wilshire Blvd , Los Angeles , CA 90057"
108099838,Palace Beauty College,1517 S Western Ave,Los Angeles,CA,90006,"1517 S Western Ave , Los Angeles , CA 90006"
108099853,American Film Institute Conservatory,2021 N Western Ave,Los Angeles,CA,90027,"2021 N Western Ave , Los Angeles , CA 90027"
108099855,Bryan College,3580 Wilshire Blvd,Los Angeles,CA,90010,"3580 Wilshire Blvd , Los Angeles , CA 90010"
108099857,University Of California-Los Angeles,405 Hilgard Ave,Los Angeles,CA,90095,"405 Hilgard Ave , Los Angeles , CA 90095"
108099864,The Fashion Institute Of Design & Merchandising-Los Angeles,919 S Grand Ave,Los Angeles,CA,90015,"919 S Grand Ave , Los Angeles , CA 90015"
108099865,La College International,3200 Wilshire Blvd.,Los Angeles,CA,90010,"3200 Wilshire Blvd. , Los Angeles , CA 90010"
108090956,California State University Los Angeles,5151 State University Dr.,Los Angeles,CA,90032,"5151 State University Dr. , Los Angeles , CA 90032"
108091068,Los Angeles Community College District,770 Wilshire Blvd.,Los Angeles,CA,90017,"770 Wilshire Blvd. , Los Angeles , CA 90017"
108099786,Los Angeles Ort Technical Institute,6435 Wilshire Blvd,Los Angeles,CA,90048,"6435 Wilshire Blvd , Los Angeles , CA 90048"
108099787,Everest College-West Los Angeles,3000 S Robertson Blvd,Los Angeles,CA,90034,"3000 S Robertson Blvd , Los Angeles , CA 90034"
108099792,Universal College Of Beauty Inc,3419 W 43Rd Place,Los Angeles,CA,90008,"3419 W 43Rd Place , Los Angeles , CA 90008"
108099796,Diversified Language Institute,1670 Wilshire Blvd,Los Angeles,CA,90017,"1670 Wilshire Blvd , Los Angeles , CA 90017"
108099800,Yo San University Of Traditional Chinese Medicine,13315 W. Washington Boulevard,Los Angeles,CA,90066,"13315 W. Washington Boulevard , Los Angeles , CA 90066"
108099801,Coast Career Institute,1354 S Hill St,Los Angeles,CA,90015,"1354 S Hill St , Los Angeles , CA 90015"
108099802,The Art Institute Of California-Hollywood,3440 Wilshire Blvd,Los Angeles,CA,90010,"3440 Wilshire Blvd , Los Angeles , CA 90010"
108099803,Marian Health Careers Center,3325 Wilshire Blvd,Los Angeles,CA,90010,"3325 Wilshire Blvd , Los Angeles , CA 90010"
108099812,Icdc College,5422 Sunset Blvd.,Los Angeles,CA,90027,"5422 Sunset Blvd. , Los Angeles , CA 90027"
108099814,Community Based Education And Development Dba Cbd College,5724 W. Third Street,Los Angeles,CA,90036,"5724 W. Third Street , Los Angeles , CA 90036"
