FIPS Code,County,Formatted FIPS,"Estimated percent of people with at least a Bachelor's degree, b"
6071,San Bernardino,6071,20.28
6027,Inyo,6027,26.06
6029,Kern,6029,16.12
6093,Siskiyou,6093,22.53
6065,Riverside,6065,21.81
6019,Fresno,6019,20.69
6035,Lassen,6035,12.05
6049,Modoc,6049,15.92
6107,Tulare,6107,14.31
6023,Humboldt,6023,29.78
6037,Los Angeles,6037,31.81
6089,Shasta,6089,22.19
6045,Mendocino,6045,24.66
6073,San Diego,6073,38.14
6025,Imperial,6025,14.45
6053,Monterey,6053,24.46
6083,Santa Barbara,6083,33.83
6105,Trinity,6105,19.72
6079,San Luis Obispo,6079,34.61
6103,Tehama,6103,15.48
6051,Mono,6051,30.63
6063,Plumas,6063,23.49
6109,Tuolumne,6109,20.03
6039,Madera,6039,14.52
6111,Ventura,6111,33.1
6047,Merced,6047,13.95
6017,El Dorado,6017,33.7
6097,Sonoma,6097,34.88
6007,Butte,6007,26.55
6061,Placer,6061,38.55
6099,Stanislaus,6099,16.92
6043,Mariposa,6043,23.41
6077,San Joaquin,6077,18.44
6021,Glenn,6021,13.86
6015,Del Norte,6015,N/A
6033,Lake,6033,15.79
6069,San Benito,6069,19.66
6031,Kings,6031,13.47
6085,Santa Clara,6085,51.33
6011,Colusa,6011,15.42
6113,Yolo,6113,41.59
6009,Calaveras,6009,18.71
6057,Nevada,6057,36.63
6067,Sacramento,6067,30.44
6091,Sierra,6091,18.71
6095,Solano,6095,26.2
6059,Orange,6059,39.86
6041,Marin,6041,58.79
6001,Alameda,6001,45.98
6013,Contra Costa,6013,41.71
6055,Napa,6055,34.9
6003,Alpine,6003,29.97
6081,San Mateo,6081,49.94
6115,Yuba,6115,16.66
6101,Sutter,6101,17.72
6005,Amador,6005,20.32
6087,Santa Cruz,6087,40.04
6075,San Francisco,6075,57.14
