from,to
5,104
5,136
21,50
21,51
22,36
22,40
22,46
23,24
23,36
23,46
23,48
23,59
23,64
23,65
24,36
24,46
24,48
24,59
24,64
24,65
25,33
25,34
25,35
25,41
25,42
25,47
25,61
31,58
31,59
33,34
33,35
33,41
33,42
33,47
33,61
34,47
34,61
35,41
35,42
35,53
35,54
36,39
36,40
36,46
36,48
36,60
36,64
36,65
40,46
41,42
46,48
46,58
46,59
46,64
46,65
47,61
48,58
48,59
48,64
48,65
50,51
50,54
50,55
53,54
53,66
53,67
54,55
54,57
54,66
54,67
56,57
56,74
56,75
56,76
57,74
57,76
58,59
58,64
58,65
59,64
59,65
64,65
66,67
71,72
71,80
72,80
74,76
98,104
98,107
104,136
