cntyfips,cntyname,tract,placenm,edplc1,edplc2,edplc3,edplc4,ecplc1,ecplc2,ecplc3,ecplc4,hsplc1,hsplc2,enplc1,enplc2,enplc3,enplc4,soplc1,soplc2
1,Alameda,6001400100,Oakland city,63.73,50.94,17.79,8.02,851.9,1.24,56.49,0.31,99.38,0.17,96,1.32,2.59,7.8,91.33,74.54
1,Alameda,6001400200,Oakland city,63.73,50.94,22.84,8.02,881.6,1.6,55.53,0.31,100,0.15,100,100,2.51,7.78,96.05,90.86
1,Alameda,6001400300,Oakland city,63.73,50.94,12.44,8.02,835.6,1.64,55.1,0.31,100,0.09,94.21,92.75,2.33,7.77,90.11,83.75
1,Alameda,6001400400,Oakland city,63.73,50.94,20.59,8.02,887.5,1.56,55.82,0.31,99.45,0.14,88.39,97.84,2.51,7.76,96.71,85.15
1,Alameda,6001400500,Oakland city,63.73,50.94,24.77,8.02,900.5,1.63,56.01,0.31,98.99,0.12,89.87,71.2,2.51,7.75,90.11,76.81
1,Alameda,6001400600,Oakland city,63.73,50.94,12.44,8.02,857.7,1.63,55.58,0.3,99.17,0.13,89.58,0,2.39,7.75,96.3,83.14
1,Alameda,6001400700,Oakland city,63.73,50.94,18.68,8.02,872.3,1.68,55.85,0.3,94.9,0.09,83.19,49.59,2.4,7.74,95.67,78.49
1,Alameda,6001400800,Oakland city,63.73,50.94,30.07,8.02,928.1,1.76,56.18,0.32,98.55,0.13,90.48,100,2.54,7.71,95.68,77.72
1,Alameda,6001400900,Oakland city,63.73,50.94,26.81,8.02,886.6,1.66,55.98,0.3,97.34,0.13,92.98,100,2.43,7.72,96.64,82.72
1,Alameda,6001401e3,Oakland city,63.73,50.94,22.05,8.02,843.2,2.06,55.39,0.3,98.24,0.11,86.52,66.85,2.38,7.74,93.28,86.77
1,Alameda,6001401100,Oakland city,63.73,50.94,11.51,8.02,830.3,2.03,54.82,0.29,95.89,0.1,91.67,92.75,2.3,7.76,95.56,66.67
1,Alameda,6001401200,Oakland city,63.73,50.94,19,8.02,823.2,2.04,54.8,0.29,99.18,0.13,93.85,100,2.27,7.77,95.69,77.74
1,Alameda,6001401300,Oakland city,63.73,50.94,24.02,8.02,830.4,2.02,54.85,0.28,90.76,0.08,94.59,100,2.2,7.76,82.23,60.73
1,Alameda,6001401400,Oakland city,63.73,50.94,24.02,8.02,840,1.99,54.8,0.29,88.58,0.1,80.33,100,2.29,7.75,85.29,81.44
1,Alameda,6001401500,Oakland city,63.73,50.94,22.05,8.02,858.8,2.08,55.16,0.31,99.58,0.14,75,100,2.37,7.73,87.19,75.13
1,Alameda,6001401600,Oakland city,63.73,50.94,24.02,8.02,855.6,2.03,54.98,0.29,89.41,0.11,89.36,99.94,2.28,7.73,82,83.29
1,Alameda,6001401700,Oakland city,63.73,50.94,28.24,8.02,903.7,1.99,55.72,0.32,90.42,0.18,92.06,38.1,2.46,7.66,80.85,80.63
1,Alameda,6001401800,Oakland city,63.73,50.94,25.68,8.02,892.1,-3.48,55.28,0.33,91.47,0.12,80.28,0,2.5,7.7,91.69,78.31
1,Alameda,6001402200,Oakland city,63.73,50.94,25.68,8.02,873.4,-3.37,55.31,0.32,86.47,0.11,85.94,0,2.44,7.71,82.05,81.02
1,Alameda,6001402400,Oakland city,63.73,50.94,25.04,8.02,824,-3.2,54.31,0.3,97.72,0.08,85.07,91.56,2.29,7.74,88.85,87.89
1,Alameda,6001402500,Oakland city,63.73,50.94,25.04,8.02,829.7,-3.08,54.71,0.31,89.14,0.07,86.67,1.84,2.33,7.74,86.27,82.81
1,Alameda,6001402600,Oakland city,63.73,50.94,25.04,8.02,806.8,-3.15,54.65,0.3,94.4,0.07,90.48,95.37,2.26,7.75,83.21,90.72
1,Alameda,6001402700,Oakland city,63.73,50.94,25.04,8.02,802.6,-3.25,54.35,0.29,100,0.1,87.72,100,2.24,7.75,95.54,64.27
1,Alameda,6001402800,Oakland city,63.73,50.94,14.66,8.02,781.5,-3.19,54.39,0.29,96.2,0.04,93.75,100,2.19,7.76,85.39,71.33
1,Alameda,6001402900,Oakland city,63.73,50.94,12.33,8.02,779,-3.13,54.31,0.28,94.63,NA,88.24,100,2.15,7.77,77.61,78.2
1,Alameda,6001403e3,Oakland city,63.73,50.94,9.72,8.02,784.9,-3.12,54.47,0.29,98.9,0.05,97.3,100,2.17,7.77,78.81,90.58
1,Alameda,6001403100,Oakland city,63.73,50.94,9.72,8.02,802.6,-3.14,54.61,0.3,NA,NA,89.29,100,2.24,7.76,NA,NA
1,Alameda,6001403300,Oakland city,63.73,50.94,12.33,8.02,769.6,3.08,53.8,0.27,95.76,0.18,91.67,100,2.17,7.79,74.26,74.34
1,Alameda,6001403400,Oakland city,63.73,50.94,12.33,8.02,773.6,-3.1,54.25,0.28,94.52,0.1,88.31,100,2.13,7.79,90.92,75.63
1,Alameda,6001403501,Oakland city,63.73,50.94,21.44,8.02,821.3,2.03,54.83,0.28,96.19,0.1,85.44,100,2.16,7.78,86.15,82.86
1,Alameda,6001403502,Oakland city,63.73,50.94,25.39,8.02,813.7,2.07,54.8,0.28,100,0.17,91.43,100,2.14,7.79,95.81,75.57
1,Alameda,6001403600,Oakland city,63.73,50.94,23.11,8.02,804.2,2.03,54.81,0.27,97.57,0.19,88.03,100,2.12,7.8,83.91,80.24
1,Alameda,6001403701,Oakland city,63.73,50.94,12.65,8.02,809.2,2.05,54.85,0.28,99.29,0.23,91.11,100,2.12,7.79,93.36,75.78
1,Alameda,6001403702,Oakland city,63.73,50.94,13.54,8.02,805.1,2.18,54.47,0.27,100,0.2,95.45,100,2.09,7.8,93.43,85.74
1,Alameda,6001403800,Oakland city,63.73,50.94,39.77,8.02,794,2.14,54.26,0.27,99.17,0.11,97.2,84.19,2.06,7.82,95.21,82.8
1,Alameda,6001403900,Oakland city,63.73,50.94,36.75,8.02,801.5,2.1,54.8,0.27,99.01,0.16,92.5,100,2.11,7.8,90.51,64.86
1,Alameda,6001404e3,Oakland city,63.73,50.94,19,8.02,812.3,2.04,54.72,0.28,96.32,0.19,95.18,100,2.17,7.79,90.18,73.65
1,Alameda,6001404101,Oakland city,63.73,50.94,19,8.02,819.6,2.01,54.64,0.29,99.32,0.12,98.67,99.4,2.27,7.79,89.72,84.23
1,Alameda,6001404102,Oakland city,63.73,50.94,19,8.02,813,1.95,54.59,0.28,100,0.12,88.89,100,2.2,7.79,90.83,74.17
1,Alameda,6001404200,Oakland city,63.73,50.94,30.55,8.02,834.9,1.88,55.18,0.28,99.23,0.15,96.47,9.06,2.29,7.82,92.29,85.25
1,Alameda,6001404300,Oakland city,63.73,50.94,16.29,8.02,844.4,1.58,55.43,0.29,100,0.18,92.22,34.8,2.38,7.8,94.41,88.41
1,Alameda,6001404400,Oakland city,63.73,50.94,16.42,8.02,829.3,1.92,55.37,0.29,98.87,0.18,97.04,6.01,2.35,7.85,91.48,89.4
1,Alameda,6001404501,Oakland city,63.73,50.94,9.08,8.02,775.1,1.91,54.78,0.28,100,0.18,96.97,78.85,2.1,7.86,97.39,94.8
1,Alameda,6001404502,Oakland city,63.73,50.94,9.08,8.02,779.7,2.39,54.98,0.27,100,0.17,97.44,40,2.22,7.88,95.39,91.84
